Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Phase1
20.000	12.100	160.24	0.0062408	0.16915	0.47139	13.793	12.857	20.790	543.37	-0.64174	7.5999e-06	0.066000	supercritical
20.000	12.600	162.92	0.0061382	0.16854	0.47811	13.510	12.868	20.624	552.96	-0.65434	7.7566e-06	0.067694	supercritical
20.000	13.100	165.48	0.0060430	0.16803	0.48489	13.239	12.879	20.467	562.32	-0.66588	7.9135e-06	0.069385	supercritical
20.000	13.600	167.94	0.0059544	0.16760	0.49173	12.981	12.888	20.317	571.46	-0.67646	8.0706e-06	0.071071	supercritical
20.000	14.100	170.31	0.0058716	0.16725	0.49863	12.735	12.897	20.174	580.39	-0.68620	8.2280e-06	0.072753	supercritical
20.000	14.600	172.59	0.0057941	0.16698	0.50557	12.498	12.905	20.038	589.12	-0.69517	8.3857e-06	0.074430	supercritical
20.000	15.100	174.79	0.0057212	0.16677	0.51256	12.271	12.912	19.908	597.66	-0.70346	8.5438e-06	0.076101	supercritical
20.000	15.600	176.91	0.0056526	0.16662	0.51957	12.053	12.919	19.784	606.03	-0.71111	8.7024e-06	0.077768	supercritical
20.000	16.100	178.96	0.0055879	0.16653	0.52662	11.843	12.925	19.665	614.23	-0.71820	8.8614e-06	0.079428	supercritical
20.000	16.600	180.94	0.0055266	0.16649	0.53370	11.641	12.930	19.551	622.27	-0.72478	9.0209e-06	0.081083	supercritical
20.000	17.100	182.87	0.0054685	0.16650	0.54079	11.445	12.935	19.442	630.16	-0.73089	9.1810e-06	0.082732	supercritical
20.000	17.600	184.73	0.0054133	0.16656	0.54791	11.257	12.940	19.338	637.91	-0.73657	9.3416e-06	0.084375	supercritical
20.000	18.100	186.54	0.0053608	0.16666	0.55503	11.074	12.944	19.237	645.52	-0.74185	9.5029e-06	0.086011	supercritical
20.000	18.600	188.30	0.0053108	0.16680	0.56218	10.897	12.948	19.141	653.01	-0.74678	9.6649e-06	0.087642	supercritical
20.000	19.100	190.01	0.0052630	0.16697	0.56933	10.726	12.951	19.049	660.37	-0.75137	9.8275e-06	0.089267	supercritical
20.000	19.600	191.67	0.0052173	0.16719	0.57649	10.560	12.954	18.960	667.61	-0.75567	9.9909e-06	0.090885	supercritical
20.000	20.100	193.29	0.0051735	0.16743	0.58365	10.398	12.957	18.874	674.75	-0.75968	1.0155e-05	0.092497	supercritical
50.000	0.10000	0.96081	1.0408	0.64307	1.0597	74.845	12.476	20.819	417.18	-0.080056	6.3602e-06	0.046678	vapor
50.000	0.60000	5.7045	0.17530	0.63963	1.0606	59.879	12.498	20.974	422.84	-0.10397	6.4558e-06	0.047334	vapor
50.000	0.60000	5.7045	0.17530	0.63963	1.0606	59.879	12.498	20.974	422.84	-0.10397	6.4558e-06	0.047334	supercritical
50.000	0.60000	5.7045	0.17530	0.63963	1.0606	59.879	12.498	20.974	422.84	-0.10397	6.4558e-06	0.047334	supercritical
50.000	1.1000	10.346	0.096653	0.63629	1.0618	54.775	12.521	21.120	428.63	-0.12666	6.5502e-06	0.048189	supercritical
50.000	1.6000	14.885	0.067181	0.63306	1.0633	51.599	12.543	21.255	434.55	-0.14899	6.6434e-06	0.049137	supercritical
