Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Surf. Tension (N/m)	Phase
193.28	3.4478	1646.3	0.00060743	3.6818	3.8573	23.777	18.608	84.408	308.55	1.0186	96.711	0.042561	0.0018471	liquid
193.78	3.5010	1637.3	0.00061077	3.7160	3.8952	23.959	18.654	85.979	304.73	1.0595	95.602	0.042230	0.0017764	liquid
194.28	3.5548	1628.1	0.00061421	3.7506	3.9336	24.142	18.704	87.652	300.87	1.1020	94.489	0.041899	0.0017063	liquid
194.78	3.6093	1618.8	0.00061776	3.7856	3.9724	24.328	18.756	89.439	296.95	1.1464	93.372	0.041569	0.0016367	liquid
195.28	3.6643	1609.2	0.00062141	3.8210	4.0118	24.515	18.813	91.350	292.98	1.1926	92.249	0.041238	0.0015677	liquid
195.78	3.7200	1599.5	0.00062518	3.8569	4.0517	24.704	18.874	93.401	288.96	1.2409	91.120	0.040908	0.0014993	liquid
196.28	3.7763	1589.6	0.00062908	3.8932	4.0923	24.896	18.939	95.608	284.89	1.2914	89.984	0.040578	0.0014315	liquid
196.78	3.8332	1579.5	0.00063311	3.9300	4.1334	25.090	19.009	97.988	280.75	1.3442	88.841	0.040248	0.0013644	liquid
197.28	3.8908	1569.2	0.00063729	3.9674	4.1752	25.286	19.084	100.56	276.55	1.3995	87.689	0.039919	0.0012979	liquid
197.78	3.9490	1558.6	0.00064162	4.0053	4.2177	25.486	19.164	103.36	272.29	1.4576	86.527	0.039592	0.0012320	liquid
198.28	4.0079	1547.7	0.00064612	4.0439	4.2609	25.688	19.251	106.42	267.96	1.5186	85.354	0.039265	0.0011668	liquid
198.78	4.0675	1536.6	0.00065080	4.0831	4.3050	25.893	19.344	109.76	263.56	1.5828	84.170	0.038940	0.0011024	liquid
199.28	4.1277	1525.1	0.00065568	4.1231	4.3499	26.103	19.444	113.43	259.09	1.6504	82.972	0.038617	0.0010386	liquid
199.78	4.1886	1513.4	0.00066078	4.1638	4.3957	26.316	19.551	117.49	254.54	1.7219	81.759	0.038297	0.00097565	liquid
200.28	4.2503	1501.2	0.00066612	4.2054	4.4426	26.533	19.667	122.01	249.91	1.7976	80.529	0.037981	0.00091347	liquid
200.78	4.3126	1488.7	0.00067172	4.2478	4.4906	26.755	19.793	127.06	245.19	1.8778	79.280	0.037669	0.00085211	liquid
201.28	4.3756	1475.8	0.00067762	4.2913	4.5398	26.982	19.929	132.74	240.37	1.9631	78.010	0.037363	0.00079161	liquid
201.78	4.4394	1462.3	0.00068384	4.3359	4.5903	27.214	20.076	139.20	235.46	2.0539	76.717	0.037065	0.00073201	liquid
