Temperature (K)	Pressure (bar)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
380.00	2.9266	573.42	0.0017439	8.4104	8.4544	23.352	179.25	230.31	717.32	-0.016326	146.21	0.098545	0.0097218	8.8855	0.11254	31.793	34.632	92.240	170.95	185.00	177.90	2.3874	7.9707	0.021187
381.00	2.9994	572.30	0.0017473	8.6400	8.6852	23.956	179.61	230.80	713.01	-0.015895	145.04	0.098323	0.0096278	9.1002	0.10989	31.944	34.785	92.459	171.41	185.58	177.79	2.3727	7.9974	0.021289
382.00	3.0736	571.18	0.0017508	8.8701	8.9165	24.560	179.97	231.29	708.69	-0.015458	143.89	0.098102	0.0095339	9.3191	0.10731	32.096	34.938	92.679	171.87	186.17	177.68	2.3582	8.0244	0.021392
383.00	3.1492	570.06	0.0017542	9.1007	9.1483	25.163	180.33	231.79	704.38	-0.015015	142.74	0.097881	0.0094402	9.5421	0.10480	32.247	35.091	92.899	172.32	186.75	177.57	2.3440	8.0518	0.021496
384.00	3.2262	568.93	0.0017577	9.3317	9.3806	25.765	180.69	232.29	700.07	-0.014565	141.60	0.097662	0.0093467	9.7695	0.10236	32.399	35.245	93.120	172.78	187.35	177.45	2.3300	8.0796	0.021599
385.00	3.3046	567.80	0.0017612	9.5633	9.6134	26.368	181.04	232.79	695.76	-0.014108	140.47	0.097443	0.0092533	10.001	0.099988	32.551	35.398	93.341	173.24	187.94	177.32	2.3162	8.1078	0.021703
386.00	3.3845	566.66	0.0017647	9.7952	9.8467	26.970	181.40	233.29	691.45	-0.013644	139.36	0.097225	0.0091601	10.237	0.097682	32.703	35.552	93.563	173.70	188.54	177.19	2.3028	8.1364	0.021808
387.00	3.4657	565.52	0.0017683	10.028	10.081	27.572	181.76	233.80	687.14	-0.013174	138.25	0.097008	0.0090671	10.478	0.095439	32.855	35.705	93.786	174.16	189.14	177.05	2.2895	8.1654	0.021913
388.00	3.5485	564.37	0.0017719	10.261	10.315	28.173	182.12	234.30	682.82	-0.012695	137.15	0.096791	0.0089742	10.723	0.093257	33.007	35.859	94.008	174.62	189.74	176.91	2.2765	8.1948	0.022019
389.00	3.6328	563.22	0.0017755	10.494	10.550	28.774	182.48	234.81	678.51	-0.012210	136.06	0.096575	0.0088815	10.973	0.091135	33.160	36.013	94.232	175.08	190.35	176.76	2.2637	8.2246	0.022125
390.00	3.7185	562.07	0.0017791	10.728	10.785	29.375	182.84	235.33	674.20	-0.011717	134.97	0.096361	0.0087890	11.227	0.089069	33.312	36.166	94.456	175.54	190.96	176.61	2.2512	8.2548	0.022231
391.00	3.8058	560.91	0.0017828	10.962	11.021	29.975	183.20	235.84	669.88	-0.011215	133.90	0.096146	0.0086966	11.486	0.087059	33.465	36.320	94.680	176.00	191.57	176.45	2.2389	8.2856	0.022338
392.00	3.8946	559.74	0.0017865	11.197	11.257	30.575	183.56	236.36	665.57	-0.010706	132.84	0.095933	0.0086045	11.751	0.085102	33.618	36.474	94.904	176.46	192.19	176.28	2.2268	8.3167	0.022446
393.00	3.9850	558.57	0.0017903	11.432	11.494	31.175	183.91	236.89	661.25	-0.010188	131.78	0.095720	0.0085124	12.020	0.083197	33.771	36.628	95.129	176.92	192.81	176.11	2.2149	8.3484	0.022554
394.00	4.0770	557.40	0.0017940	11.668	11.731	31.775	184.27	237.41	656.93	-0.0096619	130.73	0.095509	0.0084206	12.294	0.081343	33.924	36.782	95.355	177.38	193.44	175.94	2.2033	8.3805	0.022663
395.00	4.1705	556.22	0.0017979	11.905	11.969	32.374	184.63	237.94	652.62	-0.0091268	129.69	0.095298	0.0083289	12.573	0.079537	34.077	36.936	95.581	177.85	194.07	175.75	2.1919	8.4131	0.022772
396.00	4.2657	555.03	0.0018017	12.141	12.208	32.973	184.99	238.47	648.30	-0.0085825	128.66	0.095087	0.0082375	12.857	0.077778	34.231	37.090	95.807	178.31	194.70	175.57	2.1807	8.4462	0.022882
397.00	4.3625	553.84	0.0018056	12.379	12.447	33.572	185.35	239.01	643.98	-0.0080290	127.64	0.094878	0.0081462	13.147	0.076065	34.384	37.244	96.033	178.77	195.33	175.37	2.1698	8.4798	0.022992
398.00	4.4609	552.65	0.0018095	12.616	12.686	34.171	185.71	239.54	639.65	-0.0074658	126.63	0.094669	0.0080550	13.442	0.074396	34.538	37.398	96.260	179.23	195.98	175.17	2.1590	8.5139	0.023103
399.00	4.5610	551.45	0.0018134	12.855	12.926	34.769	186.07	240.09	635.33	-0.0068927	125.62	0.094461	0.0079641	13.742	0.072770	34.691	37.552	96.487	179.69	196.62	174.97	2.1485	8.5485	0.023215
400.00	4.6628	550.24	0.0018174	13.093	13.166	35.367	186.43	240.63	631.01	-0.0063094	124.62	0.094253	0.0078733	14.048	0.071185	34.845	37.706	96.715	180.16	197.27	174.75	2.1382	8.5837	0.023327
401.00	4.7662	549.03	0.0018214	13.333	13.408	35.965	186.79	241.18	626.68	-0.0057156	123.63	0.094047	0.0077828	14.359	0.069641	34.999	37.860	96.942	180.62	197.92	174.54	2.1281	8.6194	0.023440
402.00	4.8714	547.81	0.0018254	13.572	13.649	36.562	187.15	241.73	622.35	-0.0051110	122.64	0.093841	0.0076924	14.677	0.068135	35.153	38.014	97.170	181.09	198.58	174.31	2.1182	8.6556	0.023554
403.00	4.9784	546.59	0.0018295	13.813	13.891	37.160	187.51	242.29	618.02	-0.0044953	121.66	0.093635	0.0076022	15.000	0.066668	35.307	38.167	97.399	181.55	199.25	174.08	2.1085	8.6924	0.023669
404.00	5.0871	545.36	0.0018336	14.054	14.134	37.757	187.87	242.85	613.69	-0.0038682	120.69	0.093431	0.0075122	15.329	0.065237	35.462	38.321	97.627	182.01	199.91	173.84	2.0990	8.7297	0.023784
405.00	5.1975	544.13	0.0018378	14.295	14.377	38.354	188.23	243.41	609.35	-0.0032292	119.73	0.093227	0.0074224	15.664	0.063842	35.616	38.475	97.856	182.48	200.59	173.60	2.0897	8.7676	0.023900
406.00	5.3098	542.88	0.0018420	14.537	14.621	38.951	188.59	243.98	605.02	-0.0025780	118.77	0.093024	0.0073327	16.005	0.062481	35.770	38.629	98.085	182.94	201.26	173.35	2.0807	8.8061	0.024016
407.00	5.4239	541.64	0.0018463	14.779	14.865	39.547	188.95	244.56	600.68	-0.0019143	117.82	0.092821	0.0072433	16.352	0.061154	35.925	38.783	98.314	183.41	201.95	173.09	2.0718	8.8451	0.024134
408.00	5.5398	540.38	0.0018505	15.022	15.110	40.144	189.31	245.14	596.34	-0.0012376	116.88	0.092619	0.0071541	16.706	0.059859	36.079	38.937	98.543	183.87	202.64	172.82	2.0632	8.8847	0.024252
409.00	5.6575	539.12	0.0018549	15.265	15.356	40.740	189.68	245.72	591.99	-0.00054757	115.94	0.092418	0.0070651	17.066	0.058596	36.234	39.091	98.772	184.34	203.33	172.55	2.0547	8.9249	0.024371
